Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,119.599998,120.239998,119.550003,119.830002,99.136353,2523600
2015-01-05,120.190002,120.680000,120.089996,120.320000,99.541710,3218800
2015-01-06,120.650002,121.169998,120.470001,120.809998,99.947060,5313400
2015-01-07,120.639999,121.050003,120.510002,120.970001,100.079460,1636600
2015-01-08,120.650002,120.669998,120.370003,120.580002,99.756805,2156900
2015-01-09,120.419998,121.019997,120.389999,120.900002,100.021530,1530400
2015-01-12,120.940002,121.190002,120.870003,121.129997,100.211845,1948000
2015-01-13,121.129997,121.279999,120.910004,121.239998,100.302856,1468300
2015-01-14,121.709999,121.820000,121.349998,121.449997,100.476547,2457000
2015-01-15,121.529999,122.269997,121.449997,122.080002,100.997765,2171300
2015-01-16,121.709999,121.910004,121.230003,121.400002,100.435188,1322500
2015-01-20,121.709999,122.059998,121.629997,121.680000,100.666862,1648900
2015-01-21,122.080002,122.110001,121.320000,121.629997,100.625473,1878000
2015-01-22,121.879997,121.959999,121.250000,121.570000,100.575874,1938400
2015-01-23,122.089996,122.410004,122.040001,122.279999,101.163231,1436300
2015-01-26,122.349998,122.470001,122.000000,122.250000,101.138428,2347900
2015-01-27,122.680000,122.830002,122.199997,122.339996,101.212883,1268000
2015-01-28,122.389999,123.339996,122.370003,123.169998,101.899536,1367900
2015-01-29,122.860001,123.029999,122.690002,122.879997,101.659615,1674500
2015-01-30,123.550003,123.900002,123.430000,123.889999,102.495209,3499000
2015-02-02,123.239998,123.720001,123.050003,123.669998,102.590614,5684700
2015-02-03,123.059998,123.190002,122.519997,122.669998,101.761063,2828500
2015-02-04,122.260002,122.870003,122.190002,122.839996,101.902084,3209500
2015-02-05,122.589996,122.690002,122.360001,122.449997,101.578583,1789300
2015-02-06,121.959999,122.089996,121.139999,121.169998,100.516724,2578400
2015-02-09,121.559998,121.620003,121.110001,121.250000,100.583076,2426900
2015-02-10,121.230003,121.300003,120.889999,120.919998,100.309319,2580300
2015-02-11,121.029999,121.050003,120.639999,121.000000,100.375694,2239600
2015-02-12,121.000000,121.440002,120.900002,121.309998,100.632866,4045600
2015-02-13,121.290001,121.360001,120.820000,120.830002,100.234673,2068700
2015-02-17,120.660004,120.779999,120.059998,120.269997,99.770119,2970300
2015-02-18,120.339996,121.000000,120.209999,120.699997,100.126846,3221900
2015-02-19,120.639999,121.080002,120.540001,120.680000,100.110237,2765500
2015-02-20,121.019997,121.320000,120.470001,120.860001,100.259560,1621100
2015-02-23,121.150002,121.279999,121.059998,121.269997,100.599663,2191400
2015-02-24,121.059998,122.099998,120.800003,122.059998,101.255051,1891700
2015-02-25,121.919998,122.199997,121.739998,122.169998,101.346260,2024500
2015-02-26,122.000000,122.150002,121.440002,121.510002,100.798744,1192200
2015-02-27,121.540001,121.860001,121.309998,121.800003,101.039337,2892800
2015-03-02,121.360001,121.360001,120.400002,120.419998,100.163475,4540700
2015-03-03,120.500000,120.769997,120.339996,120.349998,100.105232,4737600
2015-03-04,120.660004,120.669998,120.199997,120.269997,100.038696,2703200
2015-03-05,120.500000,120.580002,120.129997,120.430000,100.171822,1307600
2015-03-06,119.699997,119.809998,119.110001,119.150002,99.107124,3372800
2015-03-09,119.589996,119.680000,119.379997,119.629997,99.506348,6241000
2015-03-10,120.019997,120.190002,119.790001,119.820000,99.664391,3356900
2015-03-11,120.070000,120.440002,119.879997,120.430000,100.171822,1712200
2015-03-12,120.629997,120.720001,120.080002,120.309998,100.071945,2970700
2015-03-13,120.000000,120.300003,119.900002,119.970001,99.789185,1845300
2015-03-16,120.419998,120.419998,119.910004,120.089996,99.888985,1588300
2015-03-17,120.099998,120.370003,119.879997,120.290001,100.055351,2528800
2015-03-18,120.540001,121.889999,120.360001,121.769997,101.286369,3382500
2015-03-19,121.480003,121.610001,121.050003,121.150002,100.770676,2503000
2015-03-20,121.470001,121.709999,121.360001,121.489998,101.053482,3669300
2015-03-23,121.570000,121.830002,121.550003,121.769997,101.286369,2946600
2015-03-24,121.889999,122.000000,121.699997,121.949997,101.436127,2782100
2015-03-25,122.000000,122.300003,121.440002,121.550003,101.103401,3205900
2015-03-26,121.269997,121.379997,120.720001,120.800003,100.479553,2681800
2015-03-27,121.180000,121.540001,121.029999,121.279999,100.878784,1009700
2015-03-30,121.419998,121.589996,121.279999,121.489998,101.053482,981100
2015-03-31,121.470001,121.760002,121.320000,121.709999,101.236496,1688400
2015-04-01,121.699997,122.169998,121.610001,121.730003,101.527542,7393500
2015-04-02,121.940002,122.120003,121.500000,121.529999,101.360756,3013700
2015-04-06,122.010002,122.160004,121.400002,121.690002,101.494202,3496000
2015-04-07,121.599998,122.139999,121.470001,122.129997,101.861168,2613500
2015-04-08,122.129997,122.129997,121.699997,122.089996,101.827797,3933500
2015-04-09,122.070000,122.070000,121.360001,121.470001,101.310715,1780600
2015-04-10,121.809998,121.900002,121.559998,121.639999,101.452484,1325000
2015-04-13,121.650002,121.849998,121.540001,121.599998,101.419144,1710100
2015-04-14,122.050003,122.309998,121.849998,121.879997,101.652649,2245000
2015-04-15,122.150002,122.290001,121.959999,121.959999,101.719376,1560900
2015-04-16,122.139999,122.139999,121.570000,121.889999,101.660995,1820500
2015-04-17,121.820000,122.349998,121.650002,122.220001,101.936249,1625800
2015-04-20,122.190002,122.349998,121.839996,121.930000,101.694374,1527200
2015-04-21,122.050003,122.099998,121.779999,121.900002,101.669373,2441600
2015-04-22,121.930000,121.940002,121.089996,121.110001,101.010460,2106000
2015-04-23,121.139999,121.589996,121.040001,121.419998,101.269012,1962900
2015-04-24,121.610001,121.830002,121.510002,121.650002,101.460846,1690200
2015-04-27,121.650002,121.760002,121.320000,121.559998,101.385765,1564700
2015-04-28,121.220001,121.379997,120.760002,120.839996,100.785271,1972700
2015-04-29,120.010002,120.150002,119.599998,119.839996,99.951202,3087100
2015-04-30,119.660004,120.010002,119.169998,119.940002,100.034615,5716000
2015-05-01,119.220001,119.470001,118.800003,118.949997,99.482651,3462200
2015-05-04,119.010002,119.160004,118.559998,118.570000,99.164810,2689600
2015-05-05,118.639999,118.690002,118.050003,118.370003,98.997551,3307400
2015-05-06,118.300003,118.300003,117.680000,117.860001,98.571022,2105900
2015-05-07,118.010002,118.410004,117.860001,118.330002,98.964119,3641200
2015-05-08,119.089996,119.230003,118.830002,119.010002,99.532829,5393700
2015-05-11,118.610001,118.650002,117.690002,117.809998,98.529198,3882800
2015-05-12,117.449997,117.980003,117.199997,117.639999,98.387016,3737200
2015-05-13,118.209999,118.279999,117.489998,117.529999,98.295029,3263600
2015-05-14,117.750000,118.139999,117.610001,117.930000,98.629570,3094300
2015-05-15,118.209999,118.820000,118.099998,118.750000,99.315384,1856500
2015-05-18,118.309998,118.480003,117.750000,117.839996,98.554321,2820500
2015-05-19,117.300003,117.800003,117.199997,117.209999,98.027405,3562500
2015-05-20,117.379997,117.680000,117.110001,117.349998,98.144493,2626800
2015-05-21,117.550003,117.949997,117.419998,117.910004,98.612831,1606900
2015-05-22,117.820000,117.849998,117.510002,117.830002,98.545906,2858500
2015-05-26,117.860001,118.410004,117.809998,118.349998,98.980820,2232300
2015-05-27,118.360001,118.550003,118.089996,118.470001,99.081200,2282700
2015-05-28,118.430000,118.489998,118.190002,118.220001,98.872124,2901000
2015-05-29,118.500000,118.570000,118.129997,118.269997,98.913910,2845800
2015-06-01,117.860001,117.989998,117.220001,117.279999,98.359550,5315800
2015-06-02,116.870003,116.989998,116.589996,116.680000,97.856316,7084900
2015-06-03,116.440002,116.440002,115.709999,115.930000,97.227341,3307900
2015-06-04,116.120003,116.669998,116.120003,116.529999,97.730545,2849100
2015-06-05,115.910004,116.209999,115.500000,115.940002,97.235764,5548400
2015-06-08,116.080002,116.199997,115.860001,115.860001,97.168625,2131100
2015-06-09,115.669998,115.669998,115.239998,115.339996,96.732552,6152300
2015-06-10,115.180000,115.279999,114.930000,115.029999,96.472527,1959600
2015-06-11,115.540001,116.070000,115.290001,116.050003,97.328026,2562600
2015-06-12,115.760002,116.330002,115.730003,115.849998,97.160248,2437900
2015-06-15,116.199997,116.250000,115.680000,115.830002,97.143509,1827600
2015-06-16,115.959999,116.120003,115.660004,116.120003,97.386696,2274100
2015-06-17,116.040001,116.199997,115.470001,116.110001,97.378304,3824200
2015-06-18,115.849998,116.000000,115.529999,115.900002,97.202179,1853100
2015-06-19,116.230003,116.620003,116.059998,116.519997,97.722153,5114500
2015-06-22,116.089996,116.250000,115.540001,115.599998,96.950600,2547700
2015-06-23,115.089996,115.639999,115.089996,115.339996,96.732552,1238700
2015-06-24,115.440002,115.720001,115.300003,115.660004,97.000908,2540000
2015-06-25,115.480003,115.639999,115.260002,115.470001,96.841545,2567500
2015-06-26,115.019997,115.129997,114.730003,114.940002,96.397110,2285000
2015-06-29,115.220001,116.089996,115.150002,115.940002,97.235764,5945700
2015-06-30,115.669998,116.180000,115.599998,115.720001,97.051216,2668600
2015-07-01,115.029999,115.290001,115.019997,115.019997,96.740036,4088700
2015-07-02,115.300003,115.660004,115.279999,115.459999,97.110130,1971000
2015-07-06,115.879997,116.070000,115.589996,115.919998,97.496979,4845100
2015-07-07,116.650002,116.860001,116.260002,116.400002,97.900726,3627500
2015-07-08,116.510002,116.709999,116.230003,116.559998,98.035278,3490600
2015-07-09,116.160004,116.199997,115.720001,115.790001,97.387680,1427800
2015-07-10,115.150002,115.360001,114.809998,115.050003,96.765274,2740000
2015-07-13,114.580002,115.080002,114.580002,114.800003,96.554985,3146100
2015-07-14,114.870003,115.000000,114.660004,114.900002,96.639114,4364200
2015-07-15,114.860001,115.370003,114.769997,115.199997,96.891426,1923800
2015-07-16,115.029999,115.459999,114.919998,115.379997,97.042793,2036600
2015-07-17,115.389999,115.620003,115.389999,115.459999,97.110130,2268200
2015-07-20,115.250000,115.449997,115.150002,115.190002,96.883026,2805800
2015-07-21,115.010002,115.480003,115.000000,115.430000,97.084862,2490900
2015-07-22,115.410004,115.750000,115.339996,115.580002,97.211044,1292900
2015-07-23,115.529999,116.019997,115.400002,115.919998,97.496979,2007600
2015-07-24,116.110001,116.110001,115.669998,115.870003,97.454948,2704700
2015-07-27,115.930000,116.180000,115.809998,115.879997,97.463348,4836700
2015-07-28,115.629997,115.820000,115.500000,115.790001,97.387680,2755100
2015-07-29,115.730003,115.809998,115.519997,115.690002,97.303574,1569200
2015-07-30,115.769997,115.919998,115.599998,115.750000,97.354004,2157600
2015-07-31,116.110001,116.410004,116.099998,116.349998,97.858673,3626900
2015-08-03,115.860001,116.379997,115.830002,116.290001,98.086403,2942800
